#Distance(A)    Macroscopic-Average    Planar-Average
 21.7244            -0.00006            -0.00055
 21.7870            -0.00006            -0.00042
 21.8496            -0.00005            -0.00028
 21.9122            -0.00005            -0.00013
 21.9748            -0.00005            -0.00000
 22.0374            -0.00004             0.00008
 22.1000            -0.00003             0.00010
 22.1626            -0.00002             0.00007
 22.2253            -0.00001            -0.00000
 22.2879             0.00001            -0.00008
 22.3505             0.00002            -0.00013
 22.4131             0.00003            -0.00014
 22.4757             0.00004            -0.00008
 22.5383             0.00005             0.00003
 22.6009             0.00005             0.00018
 22.6635             0.00006             0.00034
 22.7261             0.00006             0.00049
 22.7887             0.00006             0.00060
 22.8513             0.00006             0.00068
 22.9139             0.00006             0.00072
 22.9765             0.00006             0.00071
 23.0391             0.00006             0.00067
 23.1017             0.00006             0.00059
 23.1643             0.00006             0.00048
 23.2270             0.00005             0.00034
 23.2896             0.00005             0.00019
 23.3522             0.00005             0.00002
 23.4148             0.00005            -0.00014
 23.4774             0.00006            -0.00030
 23.5400             0.00007            -0.00043
 23.6026             0.00008            -0.00052
 23.6652             0.00009            -0.00057
 23.7278             0.00010            -0.00056
 23.7904             0.00011            -0.00049
 23.8530             0.00010            -0.00037
 23.9156             0.00010            -0.00024
 23.9782             0.00008            -0.00012
 24.0408             0.00007            -0.00004
 24.1034             0.00004            -0.00001
 24.1660             0.00002            -0.00003
 24.2287            -0.00001            -0.00007
 24.2913            -0.00003            -0.00010
 24.3539            -0.00005            -0.00009
 24.4165            -0.00008            -0.00001
 24.4791            -0.00009             0.00012
 24.5417            -0.00010             0.00027
 24.6043            -0.00011             0.00042
 24.6669            -0.00011             0.00054
 24.7295            -0.00011             0.00060
 24.7921            -0.00010             0.00060
 24.8547            -0.00009             0.00054
 24.9173            -0.00008             0.00044
 24.9799            -0.00007             0.00029
 25.0425            -0.00006             0.00013
 25.1051            -0.00006            -0.00005
 25.1678            -0.00006            -0.00021
 25.2304            -0.00006            -0.00037
 25.2930            -0.00006            -0.00049
 25.3556            -0.00006            -0.00059
 25.4182            -0.00006            -0.00066
 25.4808            -0.00006            -0.00069
 25.5434            -0.00006            -0.00068
 25.6060            -0.00006            -0.00063
 25.6686            -0.00006            -0.00055
 25.7312            -0.00006            -0.00044
 25.7938            -0.00006            -0.00029
 25.8564            -0.00005            -0.00015
 25.9190            -0.00005            -0.00002
 25.9816            -0.00004             0.00007
 26.0442            -0.00003             0.00010
 26.1068            -0.00002             0.00007
 26.1695            -0.00001             0.00000
 26.2321             0.00000            -0.00008
 26.2947             0.00002            -0.00014
 26.3573             0.00003            -0.00015
 26.4199             0.00004            -0.00010
 26.4825             0.00004             0.00001
 26.5451             0.00005             0.00015
 26.6077             0.00005             0.00031
 26.6703             0.00005             0.00046
 26.7329             0.00006             0.00059
 26.7955             0.00006             0.00068
 26.8581             0.00006             0.00072
 26.9207             0.00006             0.00072
 26.9833             0.00006             0.00068
 27.0459             0.00006             0.00060
 27.1085             0.00005             0.00049
 27.1712             0.00005             0.00035
 27.2338             0.00005             0.00020
 27.2964             0.00004             0.00004
 27.3590             0.00005            -0.00013
 27.4216             0.00005            -0.00029
 27.4842             0.00006            -0.00042
 27.5468             0.00008            -0.00053
 27.6094             0.00009            -0.00058
 27.6720             0.00010            -0.00057
 27.7346             0.00010            -0.00051
 27.7972             0.00010            -0.00039
 27.8598             0.00010            -0.00025
 27.9224             0.00009            -0.00012
 27.9850             0.00007            -0.00003
 28.0476             0.00005             0.00000
 28.1102             0.00003            -0.00002
 28.1729             0.00000            -0.00007
 28.2355            -0.00002            -0.00011
 28.2981            -0.00005            -0.00011
 28.3607            -0.00007            -0.00004
 28.4233            -0.00008             0.00008
 28.4859            -0.00010             0.00025
 28.5485            -0.00010             0.00041
 28.6111            -0.00011             0.00055
 28.6737            -0.00010             0.00063
 28.7363            -0.00009             0.00065
 28.7989            -0.00008             0.00060
 28.8615            -0.00007             0.00050
 28.9241            -0.00006             0.00035
 28.9867            -0.00006             0.00018
 29.0493            -0.00005             0.00000
 29.1120            -0.00005            -0.00017
 29.1746            -0.00005            -0.00033
 29.2372            -0.00005            -0.00047
 29.2998            -0.00005            -0.00058
 29.3624            -0.00005            -0.00066
 29.4250            -0.00005            -0.00070
 29.4876            -0.00005            -0.00070
 29.5502            -0.00005            -0.00066
 29.6128            -0.00005            -0.00058
 29.6754            -0.00005            -0.00047
 29.7380            -0.00005            -0.00033
 29.8006            -0.00004            -0.00017
 29.8632            -0.00004            -0.00003
 29.9258            -0.00003             0.00007
 29.9884            -0.00003             0.00012
 30.0510            -0.00002             0.00011
 30.1137            -0.00001             0.00005
 30.1763             0.00001            -0.00003
 30.2389             0.00002            -0.00010
 30.3015             0.00003            -0.00013
 30.3641             0.00004            -0.00010
 30.4267             0.00004            -0.00001
 30.4893             0.00005             0.00013
 30.5519             0.00005             0.00029
 30.6145             0.00005             0.00044
 30.6771             0.00005             0.00057
 30.7397             0.00005             0.00066
 30.8023             0.00006             0.00071
 30.8649             0.00006             0.00072
 30.9275             0.00006             0.00068
 30.9901             0.00006             0.00061
 31.0527             0.00006             0.00050
 31.1154             0.00005             0.00037
 31.1780             0.00005             0.00022
 31.2406             0.00005             0.00005
 31.3032             0.00005            -0.00012
 31.3658             0.00006            -0.00029
 31.4284             0.00007            -0.00043
 31.4910             0.00008            -0.00055
 31.5536             0.00009            -0.00061
 31.6162             0.00010            -0.00061
 31.6788             0.00011            -0.00055
 31.7414             0.00011            -0.00043
 31.8040             0.00010            -0.00028
 31.8666             0.00009            -0.00013
 31.9292             0.00008            -0.00001
 31.9918             0.00006             0.00005
 32.0544             0.00003             0.00005
 32.1171             0.00001             0.00001
 32.1797            -0.00002            -0.00004
 32.2423            -0.00004            -0.00006
 32.3049            -0.00006            -0.00002
 32.3675            -0.00008             0.00008
 32.4301            -0.00009             0.00023
 32.4927            -0.00010             0.00039
 32.5553            -0.00010             0.00053
 32.6179            -0.00010             0.00062
 32.6805            -0.00009             0.00064
 32.7431            -0.00008             0.00060
 32.8057            -0.00007             0.00051
 32.8683            -0.00006             0.00037
 32.9309            -0.00005             0.00020
 32.9935            -0.00005             0.00002
 33.0562            -0.00005            -0.00016
 33.1188            -0.00005            -0.00032
 33.1814            -0.00005            -0.00046
 33.2440            -0.00006            -0.00058
 33.3066            -0.00006            -0.00066
 33.3692            -0.00006            -0.00071
 33.4318            -0.00006            -0.00072
 33.4944            -0.00006            -0.00069
 33.5570            -0.00006            -0.00061
 33.6196            -0.00005            -0.00050
 33.6822            -0.00005            -0.00035
 33.7448            -0.00005            -0.00019
 33.8074            -0.00005            -0.00005
 33.8700            -0.00004             0.00006
 33.9326            -0.00004             0.00012
 33.9952            -0.00003             0.00011
 34.0579            -0.00001             0.00005
 34.1205            -0.00000            -0.00003
 34.1831             0.00001            -0.00011
 34.2457             0.00002            -0.00014
 34.3083             0.00003            -0.00011
 34.3709             0.00004            -0.00003
 34.4335             0.00005             0.00010
 34.4961             0.00005             0.00026
 34.5587             0.00006             0.00041
 34.6213             0.00006             0.00054
 34.6839             0.00006             0.00064
 34.7465             0.00006             0.00070
 34.8091             0.00006             0.00071
 34.8717             0.00006             0.00069
 34.9343             0.00006             0.00062
