#Distance(A)    Macroscopic-Average    Planar-Average
 32.5717            -0.00163            -0.00911
 32.6343            -0.00189            -0.00573
 32.6969            -0.00216            -0.00284
 32.7596            -0.00245            -0.00072
 32.8222            -0.00276             0.00059
 32.8849            -0.00308             0.00124
 32.9475            -0.00337             0.00147
 33.0101            -0.00361             0.00150
 33.0728            -0.00376             0.00145
 33.1354            -0.00379             0.00138
 33.1980            -0.00368             0.00127
 33.2607            -0.00344             0.00109
 33.3233            -0.00310             0.00078
 33.3860            -0.00269             0.00032
 33.4486            -0.00224            -0.00027
 33.5112            -0.00179            -0.00096
 33.5739            -0.00138            -0.00164
 33.6365            -0.00101            -0.00217
 33.6991            -0.00069            -0.00245
 33.7618            -0.00044            -0.00244
 33.8244            -0.00023            -0.00221
 33.8871            -0.00007            -0.00191
 33.9497             0.00007            -0.00172
 34.0123             0.00020            -0.00177
 34.0750             0.00034            -0.00210
 34.1376             0.00048            -0.00266
 34.2003             0.00063            -0.00328
 34.2629             0.00080            -0.00374
 34.3255             0.00097            -0.00382
 34.3882             0.00115            -0.00334
 34.4508             0.00133            -0.00225
 34.5134             0.00151            -0.00064
 34.5761             0.00169             0.00125
 34.6387             0.00188             0.00310
 34.7014             0.00207             0.00460
 34.7640             0.00226             0.00557
 34.8266             0.00240             0.00600
 34.8893             0.00249             0.00603
 34.9519             0.00248             0.00590
 35.0145             0.00237             0.00582
 35.0772             0.00216             0.00591
 35.1398             0.00187             0.00616
 35.2025             0.00154             0.00649
 35.2651             0.00121             0.00674
 35.3277             0.00092             0.00682
 35.3904             0.00068             0.00663
 35.4530             0.00052             0.00620
 35.5156             0.00043             0.00563
 35.5783             0.00038             0.00508
 35.6409             0.00036             0.00462
 35.7036             0.00035             0.00420
 35.7662             0.00032             0.00357
 35.8288             0.00027             0.00244
 35.8915             0.00020             0.00055
 35.9541             0.00012            -0.00214
 36.0167             0.00003            -0.00540
 36.0794            -0.00007            -0.00875
 36.1420            -0.00018            -0.01162
 36.2047            -0.00030            -0.01353
 36.2673            -0.00045            -0.01415
 36.3299            -0.00063            -0.01343
 36.3926            -0.00082            -0.01149
 36.4552            -0.00103            -0.00867
 36.5179            -0.00125            -0.00539
 36.5805            -0.00147            -0.00215
 36.6431            -0.00168             0.00060
 36.7058            -0.00189             0.00256
 36.7684            -0.00208             0.00364
 36.8310            -0.00225             0.00395
 36.8937            -0.00239             0.00377
 36.9563            -0.00247             0.00338
 37.0190            -0.00249             0.00297
 37.0816            -0.00242             0.00262
 37.1442            -0.00226             0.00230
 37.2069            -0.00203             0.00197
 37.2695            -0.00174             0.00155
 37.3321            -0.00141             0.00102
 37.3948            -0.00108             0.00037
 37.4574            -0.00075            -0.00035
 37.5201            -0.00046            -0.00104
 37.5827            -0.00021            -0.00160
 37.6453            -0.00001            -0.00196
 37.7080             0.00013            -0.00210
 37.7706             0.00022            -0.00209
 37.8332             0.00028            -0.00205
 37.8959             0.00034            -0.00208
